token,count_total,example_contexts,chapters_seen
nacahilig,3,"Si Maria Clarang nacahilig sa isang sillon sa gitna ng mga unan at mga cumot na lana ay malaki ang i... | Tinulungan nila siyang tumindig, at naliliguid ang canyang bayawang ng mga mabibilog na mga bisig ng... | Nang naroroon na'y kung minsa'y tumitiguil, kung minsa'y lumalacad sa mga di kilalang landas, cumaca...","47,54"
pakikihamoc,3,"Ang mga calaguimlaguim na pahirap ng Guardia Civil ang siyang sa kanila'y humahadlang sa pagsisisi, ... | —¡Ngunit walang calayaan naman kung walang pakikihamoc!... | ¡ngayon di'y haharap ako sa Capitan General, upang ako'y humandog sa pakikihamoc laban sa mga nanghi...","49,50,58"
mangangalacal,3,"«May anim na pung taon na ngayong nananahan ang aking nunong lalaki sa Maynila, at naglilingcod na «... | Hindi mabilang ang halaga ng mga natupoc at nawala, hinanap ang may sala, at isinumbong ng mangangal... | Daracpin ko ang lahat ng abogadillo, cleriguillo, mangangalacal, hindi ko na pagagawan pa ng causa a...","50,58"
ipacasal,3,"Ang canyang cagandahang lalaki, ang canyang kabataan at ang canyang pagka may caunting kaya ang siya... | Upang mailigtas ng lalaki ang capurihan ng babae, pinangahasan ang lahat, namanhic siya sa mga magul... | —¡Kung gayo'y ... ampunin ninyo ang aking ama at huwag po ninyo akong ipacasal!...","50,61"
tatacas,3,"—¿Saan ako tatacas?... | —Kung nangangaco kayong hindi tatacas, hindi po namin kayo gagapusin; ipinagcacaloob po sa inyo ng a... | Namasdan ni Sisa ang noong napapaliguan ng dugo; yumucod sa kanya, ang mga mata ng babae'y tila mand...","54,62"
Campo,3,¡Siya'y naglalacad sa Campo Santo na parang yao'y isang culungan lamang ng mga hayop!... | —¿Hindi baga nagcacawangis ang culungan ng mga hayop at ang Campo Santo?... | —ang isinagot ng matandang lalaki;—ang pinagcacaibhan lamang ay ang tanging pumapasoc sa Campo Santo...,55
ipinahamac,3,"Aking ipinahamac ikaw ipinahamac ko ang aking sinta....... | Aking ipinahamac ikaw ipinahamac ko ang aking sinta....... | —ang biglang sinabi ng tinig na sira;—patawarin mo ako, na hindi ko sinasadya'y aking ipinahamac ang...","59,61"
pagtacbo,3,"Pagcakita ni Sisang lumalapit ang sundalo at ng maringig ang tinig nito, sa malaking tacot ay nagpac... | Naramdaman ni Basilio ang isang pucol sa canyang ulo, ngunit nagtuloy ng pagtacbo at hindi inalumana... | Nagpasimula si Sisa ng paghina ng pagtacbo; malaking totoo ang calayuan niya sa humahabol sa kanya....",62
sumicat,3,"—ang ipinagpatuloy na ang tinig ay lalong mahina; marahil ay patay na rin ako bago sumicat ang araw ... | Humihip ng boong galit ang bagyo halos sa magdamag; hindi sumicat ang isa man lamang bituin sa boong... | Kinabucasan, ng mapaspas na sa langit ang maiitim na mga alapaap ay muling sumicat ang araw sa gitna...","62,63"
Calipso,2,"Ngunit ang asawa, sindak sa nagawang kasalanan, na sa kaniya’y waring isang kakilakilabot na pagpata... | Ngunit palibhasa'y pinapanucala ng tao at ang pangangailangan ang siyang nagpapasiya, siyang malaki ...","1,42"
actu,2,"—Ngunit.... naghimagsik na noong araw—ang sabi ng dominiko—at ab actu ad posse valet illatio.... | —Mangyayaring nagcaroong ""in potentia""; datapwat hindi ""in actu"", ang itinutol ng teniente mayor....","1,14"
clasico,2,"Samantalang nanagumpay ang pagkakahilig sa pag-aaral sa mga clasico (liwanagin ninyong mabuti, mga b... | At ang di kasiyahang loob na lalong clasico ay nabakas sa mukha niyang epicureo na ahit na ahit....",2
tercera,2,"¡Akalain mo bang ng mabatid ni aling Victorina na ang bayad ko’y “de tercera” ay tiningnan ako ng wa... | Anim na mga ""hermana tercera"" ang humihila sa canyang carro, dahil sa kung anong pangaco o pagcacara...","2,38"
curato,2,"—Huwag po kayong magalit, binata,—ang sabi:—wala akong masamang tangka, ngunit sa dahilang pinatibay... | —Huwag po kayong magalit, binata,—ang sabi:—wala akong masamang tangka, ngunit sa dahilang pinatibay...",2
canon,2,"Nakaraan ang isa pang taon at dumating ang isa pang mabuting ani, at dahil sa paganito o pagayong sa... | Nang umabot sa dalawang daang piso ang canon ay hindi na nagkasiya si kabisang Tales sa pagkamot sa ...",4
caldero,2,"Ibinibigay na ng lutuang putik ang kaniyang bigas sa caldero.... | Ang kasangkapang lupa, sa pakikipaglaban sa mga caldero, ay may nakahahanga ring anyo, sa pagkadurog...",4
Melchor,2,Makaraan ang matanda ay sumunod ang tatlong Haring Mago na nangakasakay sa mga kabayong tatalontalon... | Itulot nga ninyong ako ang maunang magsalita sa pulong na itong kinakikitaan ko ng mga nalilimping t...,"20,5"
Derecho,2,"Dahil sa kaniyang hilig at ugali ay pinili ang Medicina; ibig sana ni kapitang Tiago ang Derecho upa... | Ang mga nag-aaral ng taong paghahanda upang mag-aral ng Derecho, ikalimang taon ng segunda enseñanza...","12,6"
facultad,2,"Gaya rin ng dating pagsusumigasig, o higit pa kung mangyayari, dinaan ng binata ang mga taong pag-aa... | Sa dako pa roon, ang may katandaan, mga nag-aaral ng facultad, na, mga sutlang midias at sapatilyang...","14,6"
muceta,2,"Siya ang natakdaang bibigkas ng talumpating pagpapasalamat sa pagsusuot ng “muceta”, at nakikinikini... | Lahat ng ulong iyon na bantog sa karunungan sa Maynila na nangakalubog halos sa kanilang mga muceta ...",6
Tacito,2,"—Katutubo ng tao ang mamuhi doon sa inapi niya, ang sabi ni Tacito na pinatibayan ang quos læserunt ... | Upang pigilin ang isang munting kasamaan, ay naglalagda ng maraming kautusan na nagiging sanhi ng la...","27,7"
Seneca,2,"—Katutubo ng tao ang mamuhi doon sa inapi niya, ang sabi ni Tacito na pinatibayan ang quos læserunt ... | Ang mga catotohanang ito, Carilagdilagang Ginoo, ay sinabi ng Espiritu Santo, sa canyang cataastaasa...","31,7"
Clemente,2,"Tunay ngang kung hindi siya nagsumbong ay hindi marahil sinamsam ang mga armas at hindi marahil nabi... | Si San Clemente na taga Alejandria, si Origenes at si San Irineo ang siyang mga unang mga pari ng Ig...","14,9"
Cecilia,2,"—Ngunit sa dahilang may abay na isang bandang musika (sapagka’t ang gayong kataas na tao’y hindi dap... | Diya'y nagtamo caming capalarang pangguilalasan, hindi lamang ang lubhang mahahalagang casangcapan a...","11,28"
Academia,2,", ngunit hindi pa dumarating sa malaking usapang inaantay ng lahat, ang ukol sa kahilingan ng mga na... | ¿Hindi ba sa ilalim din ng balabal na madilim ng gabi idinadaos ang “Academia de dibujo” at ang mga ...","11,14"
codillo,2,"ang taya ay sigurong siguro na, kundi man ang codillo, at natalo pa dahil sa tawag!... | —At ito,—ang patuloy ni Simoun na tinangki sa balikat ang General—ang ibabayad nito sa akin sa bawa’...",11
vobiscum,2,—Sa Basiliong iyan ay wala akong masasabi—ang tugon ni P. Irene na itinaas at ibinuka ang mga kamay ... | hindi iyan; dominus vobiscum ang sinasabi ko sa iyo at ang isinasagot mo sa akin ay requiescat in pa...,"11,13"
politica,2,"Ang pagtuturo ng wikang kastila ay mangyayaring pahintulutan ng walang anomang kapanganiban, at upan... | Sacali't ang sasabihin ay ang kanilang pagcacatangkilic sa atin laban sa mga «encomendero», ang mais...","11,49"
victoria,2,"Minsan ay isang mainam na victoria na hihinto sa piling ng pintuan upang iwan doon ang isang mag-aan... | Tila mandin canyang namataan sa isang marikit na ""victoria"" si pari Damasong mabalasic ang mukha't c...","12,8"
carabineros,2,nakalagda na rito ang dalawang carabineros celestiales ¿ano pa ang ikatatakot mo?... | Ang pangalang carabineros celestiales ay nakapagbibigay tiwala....,12
celestiales,2,nakalagda na rito ang dalawang carabineros celestiales ¿ano pa ang ikatatakot mo?... | Ang pangalang carabineros celestiales ay nakapagbibigay tiwala....,12
contrabando,2,"Yaon ay isang banal na pulutong na itinatag upang tumulong sa Dios sa pakikibaka sa dilang kasamaan,... | Mabigat ang bagay na iyon: kilala ni Linares ang ugali ni doña Victorina at nalalaman niya kung hang...","12,51"
Pontificia,2,"At isusulat pagkatapos ng mga dayuhan at mga matataas na kawani, na pinasalubungan ng malugod na pag... | Pag-isip-isipin ninyo't pagsumagsumaguin: tunay nga't nananatili pa ang Real at Pontificia Universid...","13,53"
ampliacion,2,"Datapwa’y upang mapagkilala ang katotohanan ay sasabihin namin, na sa Gabineteng ito nag-aaral ang t... | Sa gitna ng kaniyang kasigabuhan, ay nilapitan ng isang kapista upang sabihin sa kaniyang ibig siyan...","13,27"
matricula,2,"Datapwa’y upang mapagkilala ang katotohanan ay sasabihin namin, na sa Gabineteng ito nag-aaral ang t... | Si P. Irene ang inihalal ni kapitang Tiago na kaniyang albacea at gaganap ng kaniyang mga habilin, a...","13,29"
superficies,2,"—ang sabi ng katedratiko na napilitang tumawa—Tingnan natin kung alin ang tatawagin nating salamin: ... | Kung ang pamukha ay siyang salamin, ay iba sa kabagayan ng salamin ang ano mang nalalagay sa likuran...",13
consecuentiam,2,"—¡Nego consecuentiam, Padre!... | —¡Aha, kung gayo’y probo consecuentiam!...",13
contra,2,"Sed patet experientia at contra experientiam negantem, fusilibus est arguendum, alam mo?... | —Sayang na hindi kayo marunong ng latin, pinsan; ang mga katotohanan sa latin ay casinungalingan sa ...","13,58"
censura,2,Hindi rin naman nahuhuli sa mga akala’t bagong mga pagkasulong; sa tulong ng kaniyang salapi’y nagka... | At saka wala namang kasamaang iaanak ang gayon at hindi nagagambala ang previa censura....,"14,20"
carrera,2,At yayamang hindi mapipigil na mag-aral ang kabataan at dito’y wala na namang ibang carrera ¿bakit b... | Palagi ninyong aalalahanin na ang lalong wastong paglingap ay ang lingapin muna ang sarili; walang d...,15
licenciado,2,"Pag kayo’y licenciado na, ay mag-asawa kayo sa isang dalagang mayaman at mapanata, pagpilitan ninyo ... | Pagkatapos ay naisip na kung hindi sa pagkakabilanggo, sa mga oras na iyon, siya’y ikinakasal o may ...","15,34"
Canton,2,Namumuno sa mga prayle at mga kawani na nangakaluklok sa mga uupang Viena at mga mumunting bangkong ... | Sa mga dingding ay magulong nagkakahalo ang mga panooring payapa at bughawin na gawang Canton at Hon...,16
chaleco,2,"Isang araw, sa misa, ang kapitan sa naturales na nakaupo sa bangkong nasa dakong kanan at lubhang pa... | Pinagtatakhan siya at guinagawang uliran ng mga binata, ng mga estudianteng galing Maynilang pumaroo...","16,26"
carpinteria,2,"Pinag-uusapan ang tuntunin ng Arte, humahanap ng pagkakatimbangtimbang ng laki, ang sabi ng isa’y wa... | ¿Mamacailan bagang gumalaw na parang buhay ang hindi lamang iisang larawan, kahi't anong pagcapangit...","17,6"
cabesa,2,"—Aba, ñora, porque ’talla el mana prailes y el mana empleau—ang sagot ng isang lalaki—’ta jasi solo ... | ¿querida ba de praile el cabesa?...",18
cuando,2,"—ang sabi ng boses babai—¡no quiere pa que di sabe nisos cuando ilos ta sali ingañau!... | —ang idinugtong, na ang tinutucoy ay si Ibarra:—eze lo tenfa muy merezio; yo ya lo ije cuando le vi ...","18,59"
paciencioso,2,"At binanggit ang ganoon at ganitong ginoo na dahil sa nagpakita ng pagka paciencioso at mapakumbaba,... | Patuloy si kabisang Andang ng pagtutukoy sa mga pilipinong mapakumbaba at paciencioso, gaya ng sabi ...",19
caracteres,2,"Ang Buena Tinta ay galing sa kaniyang pakikipagkaibigan kay Ben-Zayb, nang ito, sa dalawang matunog ... | Ang Buena Tinta ay galing sa kaniyang pakikipagkaibigan kay Ben-Zayb, nang ito, sa dalawang matunog ...",20
Central,2,"Gayon di’y naging kagawad ng Junta Central sa pagbabakuna, na binubuo ng tatlong manggagamot at pito... | —¡Tinanggap ko ang pagka abogado sa Universidad Central!...","20,43"
Inquisicion,2,"Kahi’t sa Madrid ay nagsalita siya ng laban sa mga pari, na ipinalalagay niyang lipas na sa kapanahu... | Ang lahat ng pahirap ng Inquisicion ay hindi sapat na parusa sa kapangahasang iyon....",20
americana,2,"Mga lalaking madidilim ang mukha, mga hukot, mga di mapalagay at hindi mawasto at masama ang pagkaka... | Pinagtatakhan siya at guinagawang uliran ng mga binata, ng mga estudianteng galing Maynilang pumaroo...","21,26"
oficial,2,"yao’y isang bulagbul, isang oficial quinto, isang taong walang gaanong kabuluhan!... | Ang lalong mataas na oficial sa Filipinas, ayon sa caisipan ng mga fraile, ay totoong malaki ang cab...","21,3"
provinciano,2,"Ang baguhan, sa pangingilag na makagambala, dala ng katakutang taglay ng sino mang provinciano, ay n... | Inubos niya ang kaya sa pagsusuot ng lalong magaling niyang damit, at canyang inilagay sa canyang su...","21,47"
marchez,2,"At samantalang inaawit ang mga salitang normando na allez, marchez!... | allez, marchez!...",22
cancan,2,"—¡Magkakaroon tayo ng cancan!... | —Mangagsasayaw ng cancan, Makaraig....",22
ici,2,"toi ici, grosse bete!... | ’suis ici l’Pape!...",22
Toxicologia,2,"Iyo’y isang bahagi ng Medicina Legal at Toxicologia ni Dr. Mata, isang aklat na kaniyang nahiram at ... | Hindi namin malaman kung ang sinasabi nila’y ang aklat na Medicina Legal y Toxicologia ni Dr. Mata o...","23,31"
caballero,2,"Ipahintulot ninyo sa akin, mga kapatid, na sa isang sandali’y maging caballero andante ako upang mag... | Nakita ni Isagani na ang kaniyang kaibigan ay matuling lumalayo na taglay ang pagmamadaling nagpapak...","25,35"
Pirotecnia,2,"Naging parang manghuhula si Ben-Zayb nang patunayan sa kaniyang pamahayagan, ng mga nakaraang araw, ... | Hindi pinaraan ni Horatius ang pagkakataon at hindi rin tinukoy ang mga patay, ni ang kaawaawang ind...",28
cogi,2,"—¿Ya cogi ba con Tadeo?... | —Loco-loco tambien aquel Isagani,—ang sabing namumuhi ng nag-aaral;—no sana de cogi con ele, ta anda...",28
conmigo,2,No pa ta paga conmigo su deuda.... | ¡Ya quema yo nga el libro que ya dale prestau conmigo!...,28
poco,2,"Siguro de llora un poco, luego de casa con un español.... | at may mana palalo, na mana ""estudiantillos de poco latin"", na dahil sila naaaral sa Manila o sa Eur...","28,31"
casa,2,"Siguro de llora un poco, luego de casa con un español.... | “Minamahal kong Capellan: Katatanggap ko pa lamang ng isang telegrama ng komandante na ang sinasabi’...","28,39"
sic,2,"“Ang pagkamahabagin, NA LALONG BUHAY SA MAÑGA BAYANG KATOLIKO KAY SA IBANG BAYAN, at ang alaala Niyo... | Nariyan ang pinacamarami sa mga manoc, na nangatatali ng isang lubid sa lupa, sa pamamag-itan ng isa...","28,46"
Cave,2,Cave ne cadas!... | Huwag po ninyong acalaing dahil sa pinawawal-ang halaga ng mga dominico at agustino ang guinggong ha...,"25,29"
cadas,2,Cave ne cadas!... | Huwag po ninyong acalaing dahil sa pinawawal-ang halaga ng mga dominico at agustino ang guinggong ha...,"25,29"
Sanctus,2,At ibinuhay ang kaniyang paggaling sa isang pagkasira ng tiyan sa paglalagay lamang ng agua bendita ... | —¡Sanctus Deus!...,"30,55"
oraculo,2,"Sa mga abang taong iyon, ang taga-sulat sa tribunal ay siyang oraculo sa Delfos ng matatandang grieg... | Anaki mandin ang mga sinabing wikang latin ay may bisang nacapagbibigay capanatagan, capuwa tumiguil...","30,58"
correo,2,"—¿Alam baga ninyo kung kailan aalis ang correo?... | Natatalastas ng mga maiitim na ito, na ang tao'y mapanghiganti, at sa pagka't gayo'y sinasabi nilang...","12,31"
lacayo,2,"—Kapag balang araw ay nakapagsarili na kayo,—ang sabing natutubigan sa indiong lacayo na nagbukas ng... | —ang sagot ng lacayo na hindi siya napakinggang mabuti at itinatanong kung saan sila paparoon....",31
volcan,2,“Danzar sobre un volcan.... | —¿Pinanood mo ba ang volcan?...,"35,40"
fantoche,2,Mia que paese un fantoche.... | —Ineng—ang bulong sa tainga ng kalapit ng babaing nagpanganlang fantoche kay D. Timoteo—¿Nakita mo b...,35
electrica,2,"Sa pagkakawangki sa anyo ni Simoun ng mga tinurang ayos ay ipinalagay na hindi katotohanan ang mga p... | Sa boong panahong itong catacot-tacot ay wala sino mang nakialam sa kanya: hindi siya ibinilanggo, h...","36,59"
Cawangis,2,"Cawangis ng kislap ng lintic ang cadalian ng pagcalaganap ng balita sa daigdigan ng mga dapo, mga la... | —Cawangis ng lubos po ninyong pagcatalastas—ang ipinasimula ng pagsasalita—ang ama po ninyo'y siyang...","1,4"
colado,2,"Cawangis ng kislap ng lintic ang cadalian ng pagcalaganap ng balita sa daigdigan ng mga dapo, mga la... | Sa gitna'y may isang mahabang mesa, na nahihiyasan ng marami at mahahalagang pamuti, na tila mandin ...",1
corbata,2,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit s... | Pinagtatakhan siya at guinagawang uliran ng mga binata, ng mga estudianteng galing Maynilang pumaroo...","1,26"
cabila,2,"Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng calacal at taong nagpap... | Walang sinabing ano man lamang salita ang santo; ngunit naacala o inacala ng sumulat ng librito, na ...","1,6"
tucoy,2,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagcacaanyo; kung hindi napa... | At ang isa'y may siyam na bahagui, ucol sa dalawang gabi, isang talinghagang ""drama"" na ang pamimint...","1,20"
pawican,2,"Kung sa aking kaibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysa... | Kung sa aking kaibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysa...",1
catamistamisang,2,"Sa gitna'y may isang mahabang mesa, na nahihiyasan ng marami at mahahalagang pamuti, na tila mandin ... | Canyang pinagsisihan ang canyang pagcasama sa mga sundalo hanggang doon; ¡ngayo'y pinanghihinayangan...","1,21"
marco,2,"Namumucod ng di ano lamang sa mga ganitong handang sa mundo'y nauucol, ang sumasapader na mga cuadro... | Cumikintab na parang salamin ang tabla ng bahay; mga cortinang jusi o piña ang mga pamuti ng mga pin...","1,26"
cabutihang,2,"Tunay mang ang pagcacapinta'y hindi nagpapakilala ng ""arte"" at cabutihang lumikha, datapwat nagsasay... | Nagsalita si doña Victorina sa ngalan ng tatlong lalaki, bucod sa nauucol sa canyang sarili; binangg...","1,59"
nacuculong,2,"Sa panonood ng mga calagayang iyong umaakit sa pagcacagana sa pagcain at naguudyoc ng ucol sa paglas... | Macalilibong iniibig kong mapanood kong ikaw ay nagcacasakit sa mundo, kay sa makita ko ikaw na nacu...","1,61"
camalacmalac,2,"Nasasalas ang mangagsisicain, sa gitna ng lubhang malalaking mga salamin at na ngagniningning na mga... | Datapwat ang nacawangis niya'y ang binatang filosofo na sinasabi ni Sameniego, sa cahulihuliha'y sum...","1,42"
carami,2,"¡masdan ninyo kung gaano carami ang suot ko at ako'y hindi tumatawa!... | Datapwat hindi nakikita ng mga aso at ng iba pang mga hayop ang mga pagpipighati ng mga tao, at gayo...","1,16"
hicab,2,"Ang mga babae ay ilang mga dalagang ang iba'y filipina at ang iba'y española: binubucsan nila ang bi... | Bumati ang cura kay doña Consolacion, na ang isinagot ay isang hicab at isang ¡aah!...","1,56"
nacaputi,2,"Umaaticabong nangagsasalitaan ang ilang mga cadete; ngunit mahihina ang voces, sa isa sa mga suloc a... | Nangagcacahalohalo sa paglacad, na nangagcacasicuhan at nangagtutulacan ang mga alilang lalaking may...","1,27"
biscocho,2,"Ang masaya't mahalagang salitaa'y na sa isang pulutong na ang bumubuo'y dalawang fraile, dalawang pa... | Uminom si Pari Damaso ng hilaw na itlog na binati sa alac, at sa boong umaga'y hindi nagsalita at hi...","1,29"
namamangca,2,"Ang mukha niyang maganda ang tabas, ang canyang mga pagtinging nacalalaguim, ang canyang malalapad n... | Tinakhan niya ang bagong ""Puente de España""; nangagpaalaala sa kanya ng mga maguiguinaw na umaga, ku...","1,8"
kinacatcat,2,"Datapwat si Fray Damaso'y hindi mahiwagang gaya nila; siya'y masaya, at kung pabug-al bug-al ang can... | Maniwala ka sa akin, anak ko, kinacatcat na lahat ng panahon; macalilimot ka kung malaon, iibig ka, ...","1,61"
iniucol,2,"Acalain ninyong mula ng ako'y dumating sa lupaing ito'y ako'y iniucol na sa isang bayang maliit nga,... | ¡hindi iniucol sa kanila ang pagsulat ng Historia!...","1,50"
kinucumpisal,2,"Hindi ko pa nauunawang magaling ang wikang tagalog, gayon ma'y kinucumpisal ko na ang mga babae at n... | May anim na libo ang dami ng taong namamayan sa San Diego, at bawa't tagaroo'y nakikilala ko, na par...",1
nagcacawatasan,2,"Hindi ko pa nauunawang magaling ang wikang tagalog, gayon ma'y kinucumpisal ko na ang mga babae at n... | Sa mga sandaling yaon, pagka nagcacawatasan ang dalawang linikhang sumasaligaya sa kilos ng mga bali...","1,7"
pinacaibig,2,"Hindi ko pa nauunawang magaling ang wikang tagalog, gayon ma'y kinucumpisal ko na ang mga babae at n... | Iniirog mo ang aking ina at ikaw ay pinacaibig niyang tulad sa isang anak....","1,7"
inianac,2,"May anim na libo ang dami ng taong namamayan sa San Diego, at bawa't tagaroo'y nakikilala ko, na par... | Kung ikaw ay naging asawa niya, tatangis ka pagkatapos, dahil sa calagayang pagka inianac dito ng as...","1,61"
magcaibigan,2,Magsabi kung nagsisinungaling ako si Santiagong siyang may ari nitong bahay; doo'y marami siyang mga... | Binibigyang casalanan siya ni pari Damasong hindi raw siya nagcucumpisal: ng una'y dating hindi siya...,"1,4"
mapagcuro,2,"Ngunit hindi ko mapagcuro kung ano ang cabagayan ng inyong mga sinabi sa pagcacaalis ng ""estanco ng ... | Hindi taglay ni Maria Clara ang maliliit na mga mata, ng canyang ama: gaya rin ng canyang inang mala...","1,6"
Napaca,2,"¡Napaca ""indolente"" ang ""indio""!... | Napaca buti ang pagcacaanyo-anyo, na ayon sa maibigan ko'y aking naitataas o naibababa ng isa ng isa...","1,32"
nacaakit,2,"ipatawad po ninyong salabatin ko ang inyong pananalita—anang binata, na idinahan ang voces at inilap... | Nang maalaman nila ang gayong paglalaro, nangagcapisan ang lahat ng matatandang lalaking marunong ng...","1,24"
pagcahuli,2,"¡Tunay nga cayang catutubo ng mga dalisay na tagarito ang pagka ""indolente,"" o nangyayari ang sinasa... | Ngayon po'y tingnan ninyo, tayo rito sa Filipinas ay may mga tatlong siglo, ang cauntian, ang ating ...","1,53"
sacop,2,"Ang sinabi niya'y ucol sa mga ibang lupaing sacop, na ang mga nananahan doo'y pawang sa lahi ring iy... | Pinatitiguil ang pakikipanayam ng bayan sa capuwa bayan, sa pagka't natatacot ang lahat na sila'y ma...","1,49"
cahawig,2,"—Tinatawag po ba ninyong tinola ang bungang kahoy na cahawig ng ""loto"" na ... ganyan ... nacapagmama... | —ang sigaw ng tinig na cahawig ng culog, casabay ng isang tungayaw, at pagkatapos na maituro sa baba...","1,39"
pagcamangha,2,"Sa pagcamangha ng nangasasalas ay nangagtinginan sa pulutong na iyon: itinunghay ng dominico ang can... | Nagpalipatlipat ng boong tulin sa mga bibig ang salitang iyon, sa gitna ng pagcatacot at pagcamangha...","1,23"
Reverencia,2,"—¡Masama ang loob dahilang hindi ninyo binigyan ng Reverencia (Cagalang-galang)!... | —¿Ano po ba, ang ibig sabihin ng ""cagalanggalang"" ninyo (Vuestra Reverencia)?...",1
Cagalang,2,—¡Masama ang loob dahilang hindi ninyo binigyan ng Reverencia (Cagalang-galang)!... | (Venerable Orden Tercera; Cagalang-galang na Pangatlong Hanay)....,"1,28"
inilacas,2,"—ang inulit ni Fr. Damaso, na lalong inilacas ang voces at humarap sa teniente.... | At lumapit kay Linares at saka inilacas ang pananalita:...","1,43"
macasasakit,2,"Ang mga pananalita ng sacerdote, sa canyang pagcasacerdote, ""per se"", ay hindi macasasakit ng loob k... | Ang mga sinasabing ""in corde"" lamang ang macasasakit ng loob: sacali't dating tinataglay ng ""in meat...",1
accidens,2,"Ang mga sinasabing ""in corde"" lamang ang macasasakit ng loob: sacali't dating tinataglay ng ""in meat... | —¡Ngunit ako'y ""por accidens"" at ""por mi"" ay nalalaman ko ang mga cadahilanan, pari Sibyla!...",1
nacapanayam,2,"; opo, totoong carapatdapat; siya'y macailan kong nacapanayam, at tumuloy ako sa canyang bahay.... | Siya'y aking nakilala at nacapanayam, at masasabi kong siya'y isa sa mga taong lalong carapatdapat a...","1,2"
aabanico,2,"—ang sinabi sa malambing na pagsisi ni Doña Victorinang nag-aabanico.... | Untiunting naghihicab ang mga nakikinig, sampo ni kapitang Tiago: Hindi pinakikinggan ni Maria Clara...","1,31"
natuclasan,2,"—¿Paano po bang matutuclasan pa ng abang iyon ang polvora, ay alinsunod sa sabi'y natuclasan na ito ... | sa pagka't bago kong natuclasan ang isang munacalang panggugulo na kayo ang ipinalalagay na may caga...","1,54"
icapito,2,"¡icapito!... | —At ng icalabing-apat na siglo at hindi ng icapito—ang idinugtong ng dominico, na ang anyo'y parang ...",1
macatalos,2,—ang tanong na malaki ang nais na macatalos ni Doña Victorina—¿ng hindi pa o ng macapagcatawang tao ... | —ang tanong na wari'y may hangad na macatalos....,"1,19"
carilagdilagang,2,"Hindi magaganda at mabubuting bihis na mga dalaga upang pansinin ng lahat, sampo ni Fr. Sibyla; hind... | (carilagdilagang ginoong Puput) hindi nga pumapasoc ang mga alferez kung di lamang ang mga salantang...","2,47"
pagcatigagal,2,"Hindi magaganda at mabubuting bihis na mga dalaga upang pansinin ng lahat, sampo ni Fr. Sibyla; hind... | At sa pagcatigagal ng pagtatamong lugod sa caniyang gawa'y hindi niya naringig ang pagdating ng cany...","2,39"
pagbebendicion,2,"—ang unang sinabi ni Kapitang Tiago, at canyang hinagcan ang mga kamay ng mga sacerdote, na pawang n... | Ininong totoo, at na sa catuwiran nga ang gayong pag-ino, ang pagcawala roon ng kilala at marunong n...","2,28"
caymanggui,2,"Nababasa sa canyang mukhang bucas at masaya ang caunting bacas ng dugong kastila na naaaninag sa isa... | Marahil siya'y sisiwa o taga pag-alaga lamang, sa pagka't ang sanggol na iyo'y maputi at mapula ang ...","2,29"
magalac,2,—ang biglang sinabi sa magalac na pagtataca—¡ang cura ng aking bayan!... | Sa pagka't walang ano mang mahalagang nangyayari sa mga taong sinasaysay natin ang buhay na pinagdaa...,"2,28"
tumalicod,2,"Napuno ng luha ang mga mata ng matanda, tumalicod at umalis na dalidali.... | Sa pagka't mababa ang bahay, sila'y nagtinginan, at nakitang magaling ni doña Victorina ang babaeng ...","2,47"
caramiha'y,2,"Napag-isa ang binata sa gitna ng salas; at sa pagka't nawala ang may bahay, wala siyang makitang sa ... | Sa gitna ng caramiha'y nangagpapalibotlibot doon ang guardia civil; hindi nila suot ang pananamit na...","2,46"
kinucuyumos,2,"Bihag na bihag si Ibarra sa gayong calaking cagandahang loob: ngumingiti si Kapitang Tinong at kinuc... | Hindi man lamang sinalang ang pangalawang taza ng chocolate, hindi tinicman man lamang ang mga hojal...","2,24"
Campana,2,"—ang bigay alam ng isang lingcod ng Cafe ""La Campana.... | Samantalang nagtatamasa kami ng mga caligayahan ng pagcaing pinamamatnubayan ng isang tagaluto ng ""L...","2,28"
confesor,2,"—Kayo ang lalong unang cakilala sa bahay na ito ... confesor ng nasirang may bahay na babae, ang lal... | at pumasoc ako sa beaterio, lagui nang naaalaala cata at hindi ko ikaw nilimot, baga man ipinag-utos...","3,7"
iniwacas,2,"—ang iniwacas ni Fr. Sibyla.... | —At ang bagay na ito'y nagpapatotoo,—ang iniwacas ng naging seminarista,—na sa boong canyang macasal...","23,3"
Luculo,2,Hindi cumacain si Luculo sa bahay ni Luculo.... | Hindi cumacain si Luculo sa bahay ni Luculo....,3
Colonia,2,"—Ginoong babae; nitong huling dalawang tao'y doroon ako sa dakong ibaba ng Europa, sa Alemania at sa... | Nabibigkisan ang ulo ng isang panyong basa ng Agua de Colonia, nababalot na mabuti ang katawan sa ma...","3,42"
lumacas,2,—ang idinugtong ng Doctor na lumacas ang loob.... | Nacahinga siya at lumacas ang canyang loob....,"21,3"
